id,username,first_name,last_name,desired_role,resume_text,team_id
1,ivanov_i,Ivan,Ivanov,Python Developer,"Навыки: Python, Django, Flask, Git",1
2,petrov_p,Petr,Petrov,ML Engineer,"Навыки: ML, PyTorch, scikit-learn, Python",1
3,sidorov_a,Andrey,Sidorov,Data Scientist,"Навыки: Python, Pandas, SQL, Математическая статистика",1
4,volkov_d,Dmitriy,Volkov,DevOps Engineer,"Навыки: Docker, Kubernetes, AWS, Linux, Git",1
5,grishina_o,Olga,Grishina,Frontend Developer,"Навыки: JavaScript, React, HTML, CSS",1
6,zaitsev_v,Vasiliy,Zaitsev,Backend Developer,"Навыки: Python, Flask, PostgreSQL, REST API, Git",1
7,pavlov_s,Sergey,Pavlov,Python Developer,"Навыки: Python, Django, Git, REST API",2
8,kuznetsova_e,Elena,Kuznetsova,ML Engineer,"Навыки: ML, TensorFlow, Python, Pandas",2
9,morozov_m,Mikhail,Morozov,Data Scientist,"Навыки: Python, NumPy, SQL, Визуализация данных",2
10,belova_k,Ksenia,Belova,DevOps Engineer,"Навыки: AWS, Terraform, CI/CD, Linux, Docker",2
11,novikov_r,Roman,Novikov,Frontend Developer,"Навыки: JavaScript, Angular, HTML, CSS",2
12,fedorov_f,Fedor,Fedorov,Backend Developer,"Навыки: Java, Spring, REST API, Git",2
13,lebedev_i,Ivan,Lebedev,Python Developer,"Навыки: Python, FastAPI, Git, PostgreSQL",3
14,gavrilov_g,Gleb,Gavrilov,ML Engineer,"Навыки: ML, scikit-learn, Python, NLP",3
15,ermakov_e,Evgeniy,Ermakov,Data Scientist,"Навыки: Python, Spark, SQL, Data Mining",3
16,popova_v,Vera,Popova,DevOps Engineer,"Навыки: Kubernetes, Docker, CI/CD, Ansible, Linux",3
17,soloviev_p,Pavel,Soloviev,Frontend Developer,"Навыки: JavaScript, Vue.js, HTML, CSS",3
18,maslova_a,Anna,Maslova,Backend Developer,"Навыки: Node.js, Express.js, MongoDB, REST API",3
19,nikolaev_d,Dmitriy,Nikolaev,Python Developer,"Навыки: Python, Django, REST API, Git",4
20,vinogradov_v,Viktor,Vinogradov,ML Engineer,"Навыки: ML, PyTorch, Python, Computer Vision",4
21,timofeev_t,Timofey,Timofeev,Data Scientist,"Навыки: Python, Pandas, SQL, A/B Testing",4
22,semenova_n,Natalia,Semenova,DevOps Engineer,"Навыки: AWS, Jenkins, Linux, Docker, Git",4
23,alexandrov_s,Sergey,Alexandrov,Frontend Developer,"Навыки: JavaScript, React, Redux, CSS",4
24,korolev_k,Kirill,Korolev,Backend Developer,"Навыки: Python, Flask, PostgreSQL, REST API, Docker",4
25,zueva_m,Maria,Zueva,Python Developer,"Навыки: Python, Django, Git, Docker",5
26,makarov_m,Maxim,Makarov,ML Engineer,"Навыки: ML, TensorFlow, Python, Deep Learning",5
27,shcherbakova_o,Olga,Shcherbakova,Data Scientist,"Навыки: Python, Tableau, SQL, Статистический анализ",5
28,egorov_i,Igor,Egorov,DevOps Engineer,"Навыки: Azure, Terraform, CI/CD, Linux",5
29,krasnova_v,Varvara,Krasnova,Frontend Developer,"Навыки: JavaScript, Vue.js, HTML, SCSS",5
30,kiselev_a,Anton,Kiselev,Backend Developer,"Навыки: Java, Spring Boot, REST API, MySQL",5
31,volodin_a,Alexey,Volodin,Python Developer,"Навыки: Python, Django, Git, PostgreSQL",6
32,soboleva_e,Elena,Soboleva,ML Engineer,"Навыки: ML, scikit-learn, Python, NLP",6
33,ivanova_a,Anna,Ivanova,Data Scientist,"Навыки: Python, Spark, SQL, Визуализация",6
34,frolov_s,Sergey,Frolov,DevOps Engineer,"Навыки: Kubernetes, Helm, CI/CD, Linux, Docker",6
35,kovaleva_y,Yulia,Kovaleva,Frontend Developer,"Навыки: JavaScript, Angular, HTML, CSS",6
36,grigoriev_r,Roman,Grigoriev,Backend Developer,"Навыки: Node.js, Express.js, MongoDB, REST API, Git",6
37,kuzmin_i,Ivan,Kuzmin,Python Developer,"Навыки: Python, Flask, REST API, Git, Docker",7
38,andreev_p,Pavel,Andreev,ML Engineer,"Навыки: ML, PyTorch, Python, Computer Vision, Git",7
39,fedorova_s,Svetlana,Fedorova,Data Scientist,"Навыки: Python, Pandas, SQL, A/B Testing, Git",7
40,savelyev_d,Dmitriy,Savelyev,DevOps Engineer,"Навыки: AWS, Terraform, Linux, Docker, Git",7
41,vasiliev_k,Kirill,Vasiliev,Frontend Developer,"Навыки: JavaScript, React, Redux, CSS, Git",7
42,chernyshov_a,Alexandr,Chernyshov,Backend Developer,"Навыки: Python, Django, PostgreSQL, REST API, Git",7
43,kalinina_m,Maria,Kalinina,Python Developer,"Навыки: Python, FastAPI, Git, Docker",8
44,stepanov_v,Viktor,Stepanov,ML Engineer,"Навыки: ML, TensorFlow, Python, Deep Learning, Git",8
45,maksimov_m,Mikhail,Maksimov,Data Scientist,"Навыки: Python, Tableau, SQL, Статистический анализ, Git",8
46,shilova_a,Anna,Shilova,DevOps Engineer,"Навыки: Azure, Ansible, CI/CD, Linux, Git",8
47,pavlova_e,Elena,Pavlova,Frontend Developer,"Навыки: JavaScript, Vue.js, HTML, SCSS, Git",8
48,kozlov_a,Andrey,Kozlov,Backend Developer,"Навыки: Java, Spring Boot, REST API, MySQL, Git",8
49,belova_a,Anna,Belova,Python Developer,"Навыки: Python, Django, PostgreSQL, REST API, Git",9
50,petrova_e,Elena,Petrova,ML Engineer,"Навыки: ML, scikit-learn, Python, NLP, Git",10

51,ivanov_i,Ivan,Ivanov,Python Developer,"Навыки: Python, Django, Flask, PostgreSQL",1
52,petrov_p,Petr,Petrov,ML Engineer,"Навыки: Машинное обучение, PyTorch, scikit-learn, TensorFlow",1
53,sidorov_s,Sergey,Sidorov,Data Scientist,"Навыки: Python, Pandas, NumPy, анализ данных",1
